Bedrijfsnaam;Adrestype;Postcode;Plaats;Land;Adresregel 1;Adresregel 2;AdresId;Itemtype;Pad
Tata Steel;Postadres;1970 CA;Ijmuiden;Nederland;PO Box 10.000;;;Item;CRM_Site/Lists/Adressen
Tata Steel;Bezoekadres;1970 CA;Velsen Noord;Nederland;Wenckebachstraat 1;Adrescode 3H15;;Item;CRM_Site/Lists/Adressen
USG Legal Services;Bezoekadres;3584 BV;Utrecht;Nederland;Euclideslaan 251;;;Item;CRM_Site/Lists/Adressen
Syntrus Achmea Real Estate & Finance;Bezoekadres;1043 GK;Amsterdam;Nederland;Gatwickstraat 1;;;Item;CRM_Site/Lists/Adressen
Syntrus Achmea Real Estate & Finance;Postadres;1040 KH;Amsterdam;Nederland;Postbus 59347;;;Item;CRM_Site/Lists/Adressen
Conclusion Learning Centers;Bezoekadres;3584 AA;Utrecht;Nederland;Herculesplein 80;;;Item;CRM_Site/Lists/Adressen
Effective Leadership Solutions (ELS) BV;Postadres;9450;Haaltert;Belgie;Herenthout 70;;;Item;CRM_Site/Lists/Adressen
Omgevingsdienst Rivierenland;Bezoekadres;4001 VK;Tiel;Nederland;Burg. van Lidth de Jeudelaan 3;;;Item;CRM_Site/Lists/Adressen
Omgevingsdienst Rivierenland;Postadres;4000 HG;Tiel;Nederland;Postbus 6267;;;Item;CRM_Site/Lists/Adressen
Het betere werken;Postadres;3951 AV;Maarn;Nederland;Eekhoornlaan 8 ee;;;Item;CRM_Site/Lists/Adressen
Van Walraven BV;Bezoekadres;3641 RR;Mijdrecht;Nederland;Nijverheidsweg 26;;;Item;CRM_Site/Lists/Adressen
TIBCO Software B.V. (NL);Bezoekadres;3062 ME;Rotterdam;Nederland;Brainpark II;Lichtenauerlaan 122-140;;Item;CRM_Site/Lists/Adressen
Adecco Top Secretaries;Bezoekadres;3584 BL;Utrecht;Nederland;Euclideslaan 1;;;Item;CRM_Site/Lists/Adressen
SV Werkt;Bezoekadres;2719 DX;Zoetermeer;Nederland;Rentgenlaan 13;;;Item;CRM_Site/Lists/Adressen
FFFFlinker;Postadres;5041 BJ;TILBURG;Nederland;Theresiaplein 14;;;Item;CRM_Site/Lists/Adressen
FFFFlinker;Bezoekadres;B-2320;Hoogstraten;Belgie;Lindendreef 42;;;Item;CRM_Site/Lists/Adressen
Domartes Beheer BV;Bezoekadres;5041 BJ;Tilburg;Nederland;Theresiaplein 14;;;Item;CRM_Site/Lists/Adressen
Dikmans Beheer BV;Postadres;3466 LZ;Waarder;Nederland;Prins Johan Frisostraat 8;;;Item;CRM_Site/Lists/Adressen
Sarius Management BV;Postadres;5046 RB;Tilburg;Nederland;Marengostraat 24;;;Item;CRM_Site/Lists/Adressen
ARAG;Bezoekadres;3833 AN;Leusden;Nederland;Kastanjelaan 2;;;Item;CRM_Site/Lists/Adressen
ARAG;Postadres;3830 AE;Leusden;Nederland;Postbus 230;;;Item;CRM_Site/Lists/Adressen
CZ;Bezoekadres;5038 KE;Tilburg;Nederland;Ringbaan West 236;;;Item;CRM_Site/Lists/Adressen
Equipe Zorgbedrijven;Bezoekadres;5657 DD;Eindhoven;Nederland;Flight Forum 130;;;Item;CRM_Site/Lists/Adressen
De Wever ouderenzorg;Bezoekadres;5042 AD;Tilburg;Nederland;Dr. Deelenlaan 6;;;Item;CRM_Site/Lists/Adressen
RNHB vastgoed;Bezoekadres;3511 SB; Utrecht;Nederland;Leidseveer 50;;;Item;CRM_Site/Lists/Adressen
KWF Kankerbestrijding;Bezoekadres;1062 EA;Amsterdam ;Nederland;Delflandlaan 17;;;Item;CRM_Site/Lists/Adressen
RNHB vastgoed;Postadres;3500 GE;Utrecht;Nederland;Postbus 2244;;;Item;CRM_Site/Lists/Adressen
W-TIC;Bezoekadres;3906 AN;Veenendaal;Nederland;Distelvink 51;;;Item;CRM_Site/Lists/Adressen
Vanderlande Industries;Bezoekadres;5466 RB;Veghel;Nederland;Vanderlandelaan 2;;;Item;CRM_Site/Lists/Adressen
BRIGHT UP;Bezoekadres;1086 ZJ;Amsterdam;Nederland;IJburglaan 456;kantoor Beehives;;Item;CRM_Site/Lists/Adressen
Sea Trucks Group;Bezoekadres;3013 AA;Rotterdam;Nederland;Delftseplein 30M (12e etage Oost);;;Item;CRM_Site/Lists/Adressen
Syntrus Achmea;Bezoekadres;3454 PV;De Meern;Nederland;Rijnzathe 12;;;Item;CRM_Site/Lists/Adressen
Syntrus Achmea;Postadres;3502 GD;Utrecht;Nederland;Postbus 3183;;;Item;CRM_Site/Lists/Adressen
Dukers & Baelemans;Bezoekadres;5512 ZG;Vessem;Nederland;Jan Smuldersstraat 22;;;Item;CRM_Site/Lists/Adressen
Dukers & Baelemans;Postadres;5512 ZG;Vessem;Nederland;Postbus 1047;;;Item;CRM_Site/Lists/Adressen
Franke Nederland B.V.;Postadres;5705 BX;Helmond;Nederland;Lagedijk 13;;;Item;CRM_Site/Lists/Adressen
Mitros;Bezoekadres;3527 LA;Utrecht;Nederland;Kon. Wilhelminalaan 9 ;;;Item;CRM_Site/Lists/Adressen
